,Cost_per_kWh
2020-07-31 15:55:58.925593,140.0
2020-08-31 15:55:58.925593,137.3085082283926
2020-09-30 15:55:58.925593,137.77097047665788
2020-10-31 15:55:58.925593,137.9291901604765
2020-11-30 15:55:58.925593,137.45567989383952
2020-12-31 15:55:58.925593,139.8609303736421
2021-01-31 15:55:58.925593,141.33519642334306
2021-02-28 15:55:58.925593,142.5444283912728
2021-03-31 15:55:58.925593,141.27383666421596
2021-04-30 15:55:58.925593,140.02101487359786
2021-05-31 15:55:58.925593,136.3181664388454
2021-06-30 15:55:58.925593,136.76015357643905
2021-07-31 15:55:58.925593,136.21551538054152
2021-08-31 15:55:58.925593,133.16414005206303
2021-09-30 15:55:58.925593,124.48983041899481
2021-10-31 15:55:58.925593,148.33647803084756
2021-11-30 15:55:58.925593,167.57663462613317
2021-12-31 15:55:58.925593,188.85355866614975
2022-01-31 15:55:58.925593,209.29837811858715
2022-02-28 15:55:58.925593,219.6182293311187
2022-03-31 15:55:58.925593,243.538800084592
2022-04-30 15:55:58.925593,266.43958476613443
2022-05-31 15:55:58.925593,284.8325435436973
2022-06-30 15:55:58.925593,110.79178992695003
2022-07-31 15:55:58.925593,108.21907028152215
2022-08-31 15:55:58.925593,107.21906657601738
2022-09-30 15:55:58.925593,105.45142386727503
2022-10-31 15:55:58.925593,104.29317602620951
2022-11-30 15:55:58.925593,102.87620908020533
2022-12-31 15:55:58.925593,103.98739718639787
2023-01-31 15:55:58.925593,103.54022051089218
2023-02-28 15:55:58.925593,102.07693757299641
2023-03-31 15:55:58.925593,96.72409510331005
2023-04-30 15:55:58.925593,90.9329197987097
2023-05-31 15:55:58.925593,86.65981783604077
2023-06-30 15:55:58.925593,79.7039898705447
2023-07-31 15:55:58.925593,76.53406658800506
2023-08-31 15:55:58.925593,70.72782941886716
2023-09-30 15:55:58.925593,64.73511191720125
2023-10-31 15:55:58.925593,60.844048846348464
2023-11-30 15:55:58.925593,56.50382245205419
2023-12-31 15:55:58.925593,93.50895112375248
2024-01-31 15:55:58.925593,94.15134869849652
2024-02-29 15:55:58.925593,91.15468034363622
2024-03-31 15:55:58.925593,90.24562126684758
2024-04-30 15:55:58.925593,89.5803597977735
2024-05-31 15:55:58.925593,90.66529941554205
2024-06-30 15:55:58.925593,92.43408047037221
2024-07-31 15:55:58.925593,91.99581228754478
2024-08-31 15:55:58.925593,89.35217029653572
2024-09-30 15:55:58.925593,86.60640209666715
2024-10-31 15:55:58.925593,85.09419880611614
2024-11-30 15:55:58.925593,83.95868206525275
2024-12-31 15:55:58.925593,85.85633686519223
2025-01-31 15:55:58.925593,86.98673730963517
2025-02-28 15:55:58.925593,88.1452332005153
2025-03-31 15:55:58.925593,86.45922041115577
2025-04-30 15:55:58.925593,86.1409991752776
2025-05-31 15:55:58.925593,86.45688619002865
2025-06-30 15:55:58.925593,89.85721740873747
