,Global_Average,North_America,China,Europe
2010,,,,
2011,-21.666666666666668,-21.666666666666668,-21.666666666666668,-21.666666666666668
2012,-17.021276595744684,-17.021276595744673,-17.021276595744684,-17.021276595744684
2013,-12.82051282051282,-12.82051282051282,-12.82051282051282,-12.82051282051282
2014,-14.70588235294118,-14.70588235294118,-14.70588235294118,-14.70588235294118
2015,-32.758620689655174,-32.758620689655174,-32.758620689655174,-32.758620689655174
2016,-24.35897435897436,-24.35897435897436,-24.35897435897436,-24.35897435897435
2017,-23.389830508474574,-23.389830508474574,-23.389830508474574,-23.389830508474585
2018,-18.14159292035398,-18.14159292035398,-18.14159292035398,-18.14159292035398
2019,-12.972972972972974,-12.972972972972963,-12.972972972972974,-12.972972972972974
2020,-13.043478260869568,-13.043478260869568,-13.043478260869556,-13.043478260869556
2021,-5.714285714285716,-5.714285714285728,-5.714285714285716,-5.714285714285716
2022,14.393939393939403,14.393939393939403,14.39393939393938,14.39393939393938
2023,-7.947019867549665,-7.947019867549676,-7.947019867549676,-7.947019867549654
2024,-11.51079136690647,-11.51079136690647,-11.51079136690647,-11.510791366906481
2025,-6.504065040650408,-6.504065040650408,-6.504065040650408,-6.5040650406503975
2026,-9.565217391304348,-9.565217391304348,-9.565217391304358,-9.565217391304348
2027,-8.653846153846157,-8.653846153846157,-8.653846153846146,-8.653846153846146
2028,-8.421052631578952,-8.421052631578952,-8.42105263157894,-8.421052631578952
2029,-9.195402298850574,-9.195402298850574,-9.195402298850585,-9.195402298850574
2030,-8.860759493670889,-8.860759493670889,-8.860759493670878,-8.8607594936709
