Category,Value,Notes
Battery Pack Cost (2025),$115/kWh,Based on BloombergNEF data
Battery Pack Cost (2030 Projected),$67/kWh,Based on projected 10% annual reduction
Price Parity Threshold,$100/kWh,Commonly cited threshold for EV-ICE price parity
Price Parity Year (Base Case),2033,"8% annual battery cost reduction, $7,500 incentives"
Price Parity Year (Optimistic),2027,"12% annual battery cost reduction, $10,000 incentives"
Price Parity Year (Breakthrough),2026,"15% annual battery cost reduction, $12,500 incentives"
Price Parity Year (Small EVs),2030,50 kWh battery size
Price Parity Year (Medium EVs),2033,75 kWh battery size
Price Parity Year (Large EVs),After 2035,100 kWh battery size
"Price Parity Year with $7,500 Incentive",2033,Current US federal tax credit
"Price Parity Year with $10,000 Incentive",2028,Enhanced incentives scenario
"Price Parity Year with $12,500 Incentive",2026,Maximum incentives scenario
Earliest Regional Price Parity,California (2024),"Higher incentives, better infrastructure, stronger consumer preference"
Latest Regional Price Parity,Southern US (2028),"Lower incentives, less infrastructure, weaker consumer preference"
