Scenario,Year,Battery_Cost_per_kWh,Total_Battery_Cost,EV_Price_Before_Incentives,EV_Price_After_Incentives,ICE_Price,Price_Difference,Price_Premium_Percent
Pessimistic,2025,115.0,8625.0,42625.0,42625.0,30000,12625.0,42.083333333333336
Pessimistic,2026,110.27695,8270.77125,42270.77125,42270.77125,30000,12270.771249999998,40.90257083333332
Pessimistic,2027,105.7478756635,7931.0906747624995,41931.0906747625,41931.0906747625,30000,11931.090674762498,39.77030224920833
Pessimistic,2028,101.40481041000005,7605.360780750004,41605.36078075,41605.36078075,30000,11605.360780750001,38.68453593583334
Pessimistic,2029,97.24011484646135,7293.0086134846015,41293.0086134846,41293.0086134846,30000,11293.008613484599,37.64336204494867
Pessimistic,2030,93.24646332971717,6993.484749728788,40993.484749728785,40993.484749728785,30000,10993.484749728785,36.64494916576261
Pessimistic,2031,89.41683108076569,6706.262331057426,40706.26233105743,40706.26233105743,30000,10706.262331057427,35.68754110352476
Pessimistic,2032,85.74448182827864,6430.836137120898,40430.836137120896,40430.836137120896,30000,10430.836137120896,34.769453790402984
Pessimistic,2033,82.22295595959123,6166.721696969343,40166.72169696934,40166.72169696934,30000,10166.72169696934,33.88907232323113
Pessimistic,2034,78.84605915833082,5913.454436874811,39913.45443687481,39913.45443687481,30000,9913.45443687481,33.04484812291603
Pessimistic,2035,75.60785150869816,5670.588863152362,39670.58886315236,39670.58886315236,30000,9670.588863152363,32.235296210507876
Base Case,2025,115.0,8625.0,42625.0,35125.0,30000,5125.0,17.083333333333332
Base Case,2026,102.626,7696.950000000001,41696.95,34196.95,30000,4196.949999999997,13.989833333333323
Base Case,2027,91.58344240000001,6868.758180000001,40868.758180000004,33368.758180000004,30000,3368.7581800000044,11.229193933333349
Base Case,2028,81.72906399776001,6129.679799832001,40129.679799832,32629.679799832003,30000,2629.6797998320035,8.765599332773345
Base Case,2029,72.93501671160104,5470.126253370077,39470.12625337008,31970.12625337008,30000,1970.1262533700792,6.567087511233598
Base Case,2030,65.08720891343276,4881.540668507457,38881.540668507456,31381.540668507456,30000,1381.5406685074558,4.60513556169152
Base Case,2031,58.0838252343474,4356.286892576055,38356.286892576056,30856.286892576056,30000,856.2868925760558,2.8542896419201864
Base Case,2032,51.83400563913162,3887.550422934871,37887.55042293487,30387.550422934873,30000,387.5504229348735,1.291834743116245
Base Case,2033,46.25666663236106,3469.2499974270795,37469.249997427076,29969.249997427076,30000,-30.75000257292413,-0.10250000857641377
Base Case,2034,41.27944930271901,3095.9586977039257,37095.95869770393,29595.95869770393,30000,-404.0413022960711,-1.3468043409869035
Base Case,2035,36.83778055774645,2762.8335418309834,36762.83354183099,29262.833541830987,30000,-737.1664581690129,-2.457221527230043
Optimistic,2025,115.0,8625.0,42625.0,32625.0,30000,2625.0,8.75
Optimistic,2026,93.2558,6994.1849999999995,40994.185,30994.184999999998,30000,994.1849999999977,3.3139499999999917
Optimistic,2027,75.622993336,5671.724500199999,39671.7245002,29671.724500199998,30000,-328.27549980000185,-1.0942516660000063
Optimistic,2028,61.324197756029115,4599.314831702183,38599.314831702184,28599.314831702184,30000,-1400.6851682978158,-4.6689505609927195
Optimistic,2029,49.729018444319124,3729.6763833239343,37729.67638332393,27729.67638332393,30000,-2270.323616676069,-7.56774538892023
Optimistic,2030,40.32625563686726,3024.4691727650443,37024.46917276504,27024.469172765042,30000,-2975.5308272349575,-9.918436090783192
Optimistic,2031,32.70136722104839,2452.6025415786294,36452.60254157863,26452.602541578628,30000,-3547.397458421372,-11.824658194737907
Optimistic,2032,26.518192706892563,1988.8644530169422,35988.86445301694,25988.86445301694,30000,-4011.1355469830596,-13.370451823276866
Optimistic,2033,21.504132829873317,1612.8099622404989,35612.8099622405,25612.8099622405,30000,-4387.190037759501,-14.62396679253167
Optimistic,2034,17.43813139440087,1307.8598545800653,35307.85985458006,25307.859854580063,30000,-4692.140145419937,-15.64046715139979
Optimistic,2035,14.140929510347553,1060.5697132760665,35060.56971327607,25060.56971327607,30000,-4939.430286723931,-16.464767622413103
Breakthrough,2025,115.0,8625.0,42625.0,30125.0,30000,125.0,0.4166666666666667
Breakthrough,2026,86.36212499999999,6477.159374999999,40477.159375,27977.159375000003,30000,-2022.840624999997,-6.742802083333324
Breakthrough,2027,64.85579682187499,4864.184761640624,38864.18476164062,26364.184761640623,30000,-3635.815238359377,-12.11938412786459
Breakthrough,2028,48.705082018307564,3652.8811513730675,37652.88115137307,25152.88115137307,30000,-4847.118848626931,-16.157062828756438
Breakthrough,2029,36.57629896869852,2743.2224226523886,36743.22242265239,24243.22242265239,30000,-5756.77757734761,-19.189258591158698
Breakthrough,2030,27.467886118018367,2060.0914588513774,36060.09145885138,23560.091458851377,30000,-6439.908541148623,-21.466361803828743
Breakthrough,2031,20.62769577747884,1547.0771833109131,35547.07718331091,23047.07718331091,30000,-6952.92281668909,-23.17640938896363
Breakthrough,2032,15.49088383649217,1161.8162877369127,35161.81628773691,22661.81628773691,30000,-7338.18371226309,-24.460612374210296
Breakthrough,2033,11.633266489109706,872.494986683228,34872.494986683225,22372.494986683225,30000,-7627.505013316775,-25.425016711055914
Breakthrough,2034,8.73629230165916,655.2219226244371,34655.221922624434,22155.221922624434,30000,-7844.778077375566,-26.149260257918556
Breakthrough,2035,6.5607371112384865,492.05528334288647,34492.05528334289,21992.05528334289,30000,-8007.944716657112,-26.69314905552371
